,actor_account_id,dt_cnt,con_cnt,log_cnt,char_cnt,exp_amt,exp_mastery_amt,exhaust_cnt,exhaust_pvp_cnt,die_cnt,die_pvp_cnt,quest_cnt,party_join_cnt,party_kick_cnt,guild_join_cnt,guild_withdraw_cnt,teleport_cnt,pve_cnt,pvp_cnt,arena_cnt,lev_max,actor_job,dt_cnt_last,con_cnt_last,log_cnt_last,char_cnt_last,exp_amt_last,exp_mastery_amt_last,exhaust_cnt_last,exhaust_pvp_cnt_last,die_cnt_last,die_pvp_cnt_last,quest_cnt_last,party_join_cnt_last,party_kick_cnt_last,guild_join_cnt_last,guild_withdraw_cnt_last,teleport_cnt_last,pve_cnt_last,pvp_cnt_last,arena_cnt_last,dt_cnt_slope,con_cnt_slope,log_cnt_slope,char_cnt_slope,exp_amt_slope,exp_mastery_amt_slope,exhaust_cnt_slope,exhaust_pvp_cnt_slope,die_cnt_slope,die_pvp_cnt_slope,quest_cnt_slope,party_join_cnt_slope,party_kick_cnt_slope,guild_join_cnt_slope,guild_withdraw_cnt_slope,teleport_cnt_slope,pve_cnt_slope,pvp_cnt_slope,arena_cnt_slope,dt_cnt_cv,con_cnt_cv,log_cnt_cv,char_cnt_cv,exp_amt_cv,exp_mastery_amt_cv,exhaust_cnt_cv,exhaust_pvp_cnt_cv,die_cnt_cv,die_pvp_cnt_cv,quest_cnt_cv,party_join_cnt_cv,party_kick_cnt_cv,guild_join_cnt_cv,guild_withdraw_cnt_cv,teleport_cnt_cv,pve_cnt_cv,pvp_cnt_cv,arena_cnt_cv,churn_yn
47,032FCAF6,5,26,1506,1,0,230208,35,32,33,31,15,9,0,0,0,8,48,80,10,50,2,1,1,171,1,0,16062,0,0,0,0,8,0,0,0,0,3,18,0,0,-0.3,-0.5,-119,-0.1,0,-4184.8,-7,-6.4,-3.6,-3.2,0.8,-0.4,0,0,0,-0.3,-2.4,-2.4,2.63E-11,0.707106781,1.691153453,1.141763364,0.559016994,0,1.625790144,2.236067977,2.236067977,1.378704626,1.370493277,1.105541597,1.685083432,0,0,0,1.135368883,1.438858054,1.845602883,2.236067977,1
48,03378B3A,35,227,196537,3,0,32687905,456,184,468,128,1989,578,0,2,2,428,26148,1147,0,50,6,7,25,35616,1,0,5030658,77,1,73,1,380,77,0,0,0,61,5459,26,0,0,-3.2,1374.2,-0.6,0,116534.1,-8.1,-22,-3.8,-14.4,51.9,-1.4,0,5.26E-12,5.26E-12,-1.3,508.1,-88.3,0,0,0.272289752,0.102541317,0.608580619,0,0.057931293,0.330066934,1.379211022,0.109101394,1.193922947,0.30898644,0.220026136,0,2.236067977,2.236067977,0.152996612,0.21967807,1.042611482,0,0
49,0341F57F,6,14,3515,2,18105,540780,10,1,7,4,62,2,0,0,0,14,712,4,1,50,3,4,11,2346,1,0,464936,8,1,6,3,29,2,0,0,0,9,383,3,1,0.8,2.2,469.2,0.2,4.77E-08,92987.2,1.6,0.2,1.2,0.6,5.8,0.4,0,0,0,1.8,76.6,0.6,0.2,1.490711985,1.701589893,1.49177427,1.490711985,2.236067977,1.868892011,1.732050808,2.236067977,1.862629259,1.629800601,1.374047774,2.236067977,0,0,0,1.45948691,1.37585441,1.629800601,2.236067977,1
50,034C24EB,26,255,101204,3,3545808,22701344,389,10,246,44,2143,282,0,1,0,409,17031,41,28,50,6,6,69,33965,3,1800069,5418629,91,4,38,10,812,59,0,0,0,145,6108,5,4,1.3,13.3,4845.2,0.6,185439.9,426750.8,19.4,0.4,7.2,-0.1,109.7,17.1,0,0.1,0,18.7,757.1,-1.1,-0.2,0.5672262,0.584465042,0.721091967,0.912870929,1.369574265,0.801766247,0.633181836,1.17260394,0.665848199,1.027136958,0.834259684,0.688139732,0,2.236067977,0,0.834230044,0.862422413,1.311755298,0.89819831,1
51,036DB130,35,364,79951,6,1727534,18630864,234,8,256,106,1277,255,0,1,0,152,10752,121,9,50,8,7,51,16065,5,8392,1638977,32,1,35,15,261,32,0,0,0,7,2664,14,0,0,-3.2,1416.8,0.1,10935.2,656887.5,-2.1,-0.6,-3.5,-1.2,31,-6.2,0,0.1,0,4.3,452.9,-2.5,-0.9,0,0.168306192,0.20211329,0.446051497,1.016982496,1.024821615,0.483151865,1.732050808,0.358560775,0.227803258,0.268759009,0.343984482,0,2.236067977,0,0.873636226,0.427358004,0.305971032,1.732050808,1
52,037E261F,6,50,12766,2,1208907,841486,19,2,19,9,293,32,0,0,0,63,2341,0,12,50,6,2,18,4544,2,597149,437850,7,0,8,4,93,11,0,0,0,38,733,0,5,-1.05E-11,1,66.09999998,0.1,58446.2,58264.6,1.2,-0.2,1.4,0.4,-2.8,0.1,0,0,0,3.7,-4.000000002,0,0.5,0.697216689,0.860232527,0.705573892,0.638876565,0.919706092,1.085118106,0.937817352,2.236067977,0.840458917,0.99380799,0.700241163,0.991910641,0,0,0,1.256878279,0.62913686,0,0.959238703,0
53,039C51EE,25,170,17621,4,0,4140842,219,14,90,7,250,113,0,0,0,19,2203,31,0,50,3,1,1,57,1,0,53000,0,0,0,0,2,2,0,0,0,1,0,0,0,-0.5,-3.2,252,-0.7,0,76822.4,-5.699999999,-0.3,-0.8,1.84E-11,6.2,0.9,0,0,0,0.3,45.3,0.4,0,0.509901951,0.656747238,0.913491798,0.707106781,0,0.961613851,1.005657247,0.991031209,0.950971439,0.958314847,1.005718285,0.826159599,0,0,0,0.775791114,0.980812582,0.943238162,0,1
54,039DFB34,4,6,144,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,50,5,1,1,58,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0.7,20.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0.3,0.1,0,0,1.629800601,1.806623616,1.411790355,1.369306394,0,0,0,0,0,0,0,0,0,0,0,1.369306394,2.236067977,0,0,1
55,03AA8038,15,128,42162,4,1760290,5946005,69,4,44,5,862,59,0,0,0,135,7048,9,0,50,3,2,5,173,4,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,-7.4,-2088.1,-0.2,-27033.19999,-194647.3,-2.6,5.26E-12,-1.3,0,-45.8,-4.7,0,0,0,-2.7,-278.6,5.26E-12,0,0.40824829,0.731409288,0.756561263,0.342326598,0.911809443,0.776754026,0.936341877,1.369306394,0.942809042,0,0.949632813,0.982255452,0,0,0,0.687596623,0.890714694,1.369306394,0,1
56,03BFF4ED,16,49,26423,4,1746011,10421476,33,2,13,3,425,18,0,1,0,152,4734,3,0,50,6,7,21,14671,3,982787,10321476,25,0,10,1,217,14,0,1,0,103,2746,1,0,1.5,4.2,2904.1,0.4,209988.2,2054295.2,4.8,-0.1,2,0.2,40,2.8,0,0.2,0,20.4,546.6,0.1,0,0.808886194,0.778458413,1.063168418,0.631906287,1.08844827,2.209345223,1.576777059,1.369306394,1.667652568,1.490711985,0.955407122,1.62683894,0,2.236067977,0,1.379148865,1.112835217,0.912870929,0,0
57,03FDD6EE,31,578,101816,3,198437,27884399,242,7,551,217,1513,525,0,0,0,211,6896,159,77,50,9,7,56,17355,2,198437,2721472,37,0,72,13,328,75,0,0,0,57,2062,7,5,0.5,-10.8,1143.3,0.3,39687.4,64502.40001,1.6,-0.3,-6.7,-11.1,33.1,3.95E-11,0,0,0,11.5,311.9,-7.5,-4.7,0.134945166,0.226445588,0.154636976,0.391230398,2.236067977,0.376308951,0.386989389,0.638876565,0.310191839,0.550064693,0.211391957,0.150116733,0,0,0,0.532114324,0.446383081,0.632606771,0.80546956,0
58,040390F5,35,308,246511,5,0,40955608,261,161,478,326,402,205,0,0,0,197,55905,766,9,50,9,7,60,25342,4,0,4282328,53,49,58,50,185,30,0,0,0,37,5134,56,0,0,3.6,-3932.4,0.9,0,-889400.9,-0.3,0.4,-4.599999999,-5.299999999,30.9,-0.6,0,0,0,0.4,-1007.8,-24.3,-0.9,0,0.404829982,0.532375465,0.623609564,0,0.358604674,0.305086359,0.520145661,0.42426911,0.700585166,0.876895341,0.295331624,0,0,0,0.136836302,0.622246485,0.725508224,2.236067977,0
59,042548EE,25,176,25185,3,0,6858655,81,43,203,148,257,166,0,2,2,104,2156,248,4,50,5,5,69,11528,3,0,2361084,38,24,56,42,93,48,0,2,2,35,1278,103,4,0.2,9.1,1829.8,0.4,0,195475,6.7,5,3.2,3.3,12.2,3.8,0,0.4,0.4,5,247.8,13.9,0.8,0.141421356,0.683939645,0.835605229,0.559016994,0,0.654773643,0.982216644,1.298999074,0.404565779,0.400370899,0.598206246,0.482743108,0,2.236067977,2.236067977,0.533401226,1.145552155,0.841016878,2.236067977,1
60,042B33F5,17,56,4161,4,0,1880962,6,1,19,18,58,19,0,0,0,8,146,5,0,50,1,3,4,63,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.1,1.3,-80.1,0.3,0,73298.6,-0.2,0,0,0,-2,-0.4,0,0,0,-0.2,-5.2,0,0,0.896938275,0.84326564,0.959814296,0.707106781,0,1.75317345,2.236067977,0,0,0,1.388908112,1.490711985,0,0,0,1.629800601,1.37269717,0,0,1
61,0448D42F,34,424,106757,3,0,28616574,1049,54,854,184,1233,461,0,7,4,268,5571,269,57,50,1,7,80,13955,3,0,4216040,138,31,163,47,141,70,0,0,0,32,453,75,9,-0.1,-6.1,-2331.7,1.99E-16,0,-412031.4,-13.1,6.5,-2.8,0.1,-44.6,-19.3,0,-0.8,-0.8,-7.6,-156.6,0.6,-1,0.065766705,0.276546335,0.201232504,0,0,0.15763413,0.277761058,1.21449578,0.29177617,0.379975004,0.35754468,0.594978247,0,1.083267921,2.236067977,0.274225082,0.30800525,0.448440036,0.502813266,0
62,04694C14,4,31,6135,5,557971,1170413,9,0,12,10,82,0,0,0,0,48,1095,4,7,50,7,3,23,4829,5,484139,1119932,5,0,8,6,70,0,0,0,0,39,863,4,5,0.6,4.6,965.8,1,96827.8,223986.4,1,0,1.6,1.2,14,0,0,0,0,7.8,172.6,0.8,1,1.629800601,1.614515323,1.704551459,1.438858054,1.888077392,2.11757334,1.383322178,0,1.490711985,1.414213562,1.854300274,0,0,0,0,1.759461033,1.706669491,2.236067977,1.564921593,1
63,046C4409,5,6,928,1,0,66065,2,0,0,0,7,0,0,0,0,1,161,0,0,50,5,1,1,213,1,0,26600,1,0,0,0,5,0,0,0,0,1,60,0,0,0.4,0.4,62.8,0.3,0,7301.7,0.2,0,0,0,1.2,0,0,0,0,0.2,15.3,0,0,1,1.086533734,1.13372491,0.912870929,0,0.937218061,1.369306394,0,0,0,1.564921593,0,0,0,0,2.236067977,0.997759923,0,0,1
64,048236F6,9,82,14081,4,139897,6927885,69,0,29,3,224,52,0,0,1,54,1947,4,0,50,8,3,37,4157,3,0,688388,19,0,11,3,57,24,0,0,1,9,590,4,0,0.8,10.8,1310.7,0.5,0,599155,3,0,3.9,0.6,20.7,7.3,0,0,0.2,4,174.3,0.8,0,0.912870929,1.155986782,0.915546757,0.912870929,0,1.404794781,0.864713385,0,1.343279392,2.236067977,0.993873633,1.243697127,0,0,2.236067977,1.094100446,0.85502673,2.236067977,0,0
65,04B7E0EC,25,162,31206,4,0,8814610,356,283,216,134,293,125,0,0,0,94,3898,220,6,50,8,3,6,878,2,0,1604041,7,3,3,1,14,2,0,0,0,10,283,4,0,-0.4,-7.9,-1733.8,-0.3,0,157557.2,0.5,0.9,-7.5,-3.5,-12,-6,0,0,0,-3.5,-185.3,-6.8,-0.3,0.316227766,0.541674701,0.745503694,0.344010458,0,0.450821232,0.751867692,0.812520026,0.607222552,0.625099942,0.863851649,0.532681894,0,0,0,0.393805874,0.770862539,0.692276069,2.236067977,1
66,04BBB9F4,32,477,141881,6,0,35614379,367,5,315,23,1143,321,0,0,0,227,24072,49,12,50,8,6,69,32407,5,0,5738766,22,0,38,6,204,51,0,0,0,26,6862,6,0,-0.1,-5.3,2700.2,-0.1,0,30020.69999,0.6,-0.7,3.4,0.3,11.7,0.2,0,0,0,-2.2,802.7,-1.6,-0.6,0.08558165,0.117867014,0.228181648,0.086002615,0,0.080782446,0.905527897,1.224744871,0.394910916,0.506194317,0.118777515,0.092909698,0,0,0,0.220714944,0.382930573,0.840915569,1.369306394,0
67,04FF70F5,32,369,55681,7,1798063,21968538,179,4,224,131,951,228,0,3,1,227,7697,112,52,50,3,6,78,9012,4,0,1738937,30,0,50,28,196,54,0,0,0,15,891,14,8,0.2,4,1131.1,1.84E-11,103207.4,362093.1,1.9,0.4,0.6,0.3,29.9,2,0,-0.2,2.63E-12,8,232.2,-0.3,-0.6,0.139754249,0.154236595,0.369705715,0.259130778,1.372086673,0.729044707,0.385091885,2.236067977,0.275466735,0.178692135,0.324559123,0.245441836,0,0.912870929,2.236067977,0.878993937,0.702180287,0.489129367,0.376107831,1
